Player,Opponent,Rally,Serve?,Serve Type,Starting Serve Position,Faults,Walls on Winning Hit,Length of Rally,Direction Changes,OpponentDirectionChange,Forehands,Backhands,OpponentForehands,OpponentBackhands,WinServe?,,
Kane Waselenchuk,Andres Acuna,1,Yes,Backhand Drive,Center,0,1,1,0,0,1,0,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,2,Yes,Backhand Drive,Center,0,1,5,1,2,2,1,0,2,Yes,,
Kane Waselenchuk,Andres Acuna,3,Yes,Backhand Lob,Opponent Backhand,1,1,2,0,0,1,0,0,1,No,,
Kane Waselenchuk,Andres Acuna,4,No,Backhand Lob,Forehand,1,2,2,0,0,0,1,1,0,Yes,,
Kane Waselenchuk,Andres Acuna,5,Yes,Backhand Drive,Center,1,1,9,2,3,3,2,3,1,No,,
Kane Waselenchuk,Andres Acuna,6,No,Forehand Lob,Backhand,1,2,4,2,2,2,0,2,0,Yes,,
Kane Waselenchuk,Andres Acuna,7,Yes,Forehand Drive,Opponent Backhand,0,2,5,2,3,2,1,1,1,No,,
Kane Waselenchuk,Andres Acuna,8,No,Backhand Lob,Forehand,1,1,5,0,0,0,2,3,0,No,,
Kane Waselenchuk,Andres Acuna,9,No,Backhand Lob,Forehand,1,1,3,0,0,0,1,2,0,Yes,,
Kane Waselenchuk,Andres Acuna,10,Yes,Backhand Drive,Center,0,2,3,0,2,1,1,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,11,Yes,Backhand Lob,Opponent Forehand,1,2,2,1,0,1,0,0,1,No,,
Kane Waselenchuk,Andres Acuna,12,No,Backhand Drive,Backhand,0,1,6,2,4,1,2,1,2,Yes,,
Kane Waselenchuk,Andres Acuna,13,Yes,Backhand Drive,Opponent Backhand,0,1,5,3,1,2,1,1,1,Yes,,
Kane Waselenchuk,Andres Acuna,14,Yes,Backhand Drive,Opponent Backhand,0,2,4,0,1,2,0,1,1,Yes,,
Kane Waselenchuk,Andres Acuna,15,Yes,Forehand Drive,Center,0,1,1,1,0,1,0,0,0,Yes,,
Kane Waselenchuk,Andres Acuna,16,Yes,Wrap Around,Opponent Backhand,1,2,6,2,1,2,1,0,3,No,,
Kane Waselenchuk,Andres Acuna,17,No,Backhand Lob,Backhand,1,1,2,0,0,0,1,1,0,No,,
Kane Waselenchuk,Andres Acuna,18,No,Wrap Around,Backhand,0,3,2,0,0,1,0,1,0,No,,
Kane Waselenchuk,Andres Acuna,19,No,Backhand Lob,Backhand,1,1,2,0,0,0,1,1,0,Yes,,
Kane Waselenchuk,Andres Acuna,20,Yes,Backhand Drive,Backhand,1,2,3,1,0,2,0,0,1,No,,
Kane Waselenchuk,Andres Acuna,21,No,Backhand Drive,Backhand,0,1,6,1,2,1,2,2,1,Yes,,
Kane Waselenchuk,Andres Acuna,22,Yes,Forehand Drive,Center,0,1,4,0,2,2,0,1,1,No,,
Kane Waselenchuk,Andres Acuna,23,No,Backhand Drive,Backhand,0,1,3,1,1,0,1,2,0,Yes,,
Kane Waselenchuk,Andres Acuna,24,Yes,Backhand Drive,Opponent Backhand,0,2,7,2,2,3,1,1,2,Yes,,
Kane Waselenchuk,Andres Acuna,25,Yes,Forehand Drive,Opponent Backhand,0,2,2,1,0,1,0,1,0,No,,
Kane Waselenchuk,Andres Acuna,26,No,Forehand Lob,Forehand,1,1,2,0,0,1,0,1,0,Yes,,
Kane Waselenchuk,Andres Acuna,27,Yes,Backhand Lob,Opponent Backhand,1,1,3,1,0,1,1,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,28,Yes,Forehand Drive,Opponent Backhand,0,3,1,0,1,1,0,0,0,Yes,,
Kane Waselenchuk,Andres Acuna,29,Yes,Backhand Drive,Opponent Backhand,0,1,1,0,1,1,0,0,0,Yes,,x
Kane Waselenchuk,Andres Acuna,30,Yes,Backhand Drive,Opponent Backhand,0,2,3,0,1,2,0,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,31,Yes,Wrap Around,Opponent Backhand,0,2,3,0,1,1,1,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,32,Yes,Forehand Drive,Opponent Backhand,0,3,3,0,1,1,1,1,0,Yes,,
Kane Waselenchuk,Andres Acuna,33,Yes,Forehand Drive,Opponent Backhand,0,1,1,0,1,1,0,0,0,Yes,,
Kane Waselenchuk,Andres Acuna,34,Yes,Wrap Around,Opponent Backhand,0,1,3,0,2,2,0,1,0,Yes,,
Kane Waselenchuk,Andres Acuna,35,No,Forehand Lob,Forehand,1,3,2,0,1,1,0,1,0,Yes,,
Kane Waselenchuk,Andres Acuna,36,Yes,Backhand Lob,Opponent Backhand,1,2,10,2,2,2,3,2,3,No,,
Kane Waselenchuk,Andres Acuna,37,No,Wrap Around,Forehand,0,1,3,0,1,0,1,1,1,Yes,,
Kane Waselenchuk,Andres Acuna,38,Yes,Wrap Around,Opponent Backhand,0,1,5,1,2,2,1,1,1,Yes,,
Kane Waselenchuk,Andres Acuna,39,Yes,Backhand Drive,Opponent Backhand,0,2,3,1,1,1,1,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,40,Yes,Forehand Drive,Opponent Backhand,0,2,9,2,3,3,2,2,2,Yes,,
Kane Waselenchuk,Andres Acuna,41,Yes,Backhand Lob,Opponent Backhand,1,1,2,0,0,1,0,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,42,Yes,Backhand Drive,Opponent Backhand,0,1,3,0,2,2,0,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,43,Yes,Backhand Drive,Opponent Backhand,0,1,7,1,1,2,2,1,2,Yes,,
Kane Waselenchuk,Andres Acuna,44,Yes,Backhand Lob,Opponent Backhand,1,2,4,1,0,1,1,1,1,No,,
Kane Waselenchuk,Andres Acuna,45,No,Backhand Drive,Backhand,0,1,4,2,1,0,2,1,1,No,,
Kane Waselenchuk,Andres Acuna,46,No,Backhand Lob,Forehand,1,2,13,1,2,2,4,1,6,No,,
Kane Waselenchuk,Andres Acuna,47,No,Backhand Lob,Forehand,1,1,6,1,2,2,1,1,2,Yes,,
Kane Waselenchuk,Andres Acuna,48,Yes,Backhand Lob,Opponent Backhand,1,2,3,0,1,1,1,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,49,Yes,Backhand Drive,Opponent Backhand,0,2,3,0,1,2,0,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,50,Yes,Backhand Drive,Opponent Backhand,0,2,3,1,0,2,0,0,1,No,,
Kane Waselenchuk,Andres Acuna,51,No,Backhand Lob,Forehand,1,2,2,0,1,0,1,1,0,Yes,,
Kane Waselenchuk,Andres Acuna,52,Yes,Backhand Lob,Opponent Backhand,1,2,3,0,1,1,1,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,53,Yes,Backhand Lob,Opponent Backhand,1,2,6,0,2,2,1,1,2,Yes,,
Kane Waselenchuk,Andres Acuna,54,Yes,Backhand Lob,Opponent Backhand,1,2,8,0,2,1,3,2,2,Yes,,
Kane Waselenchuk,Andres Acuna,55,Yes,Wrap Around,Opponent Backhand,0,1,2,1,0,1,0,1,0,No,,
Kane Waselenchuk,Andres Acuna,56,No,Backhand Drive,Backhand,0,1,4,0,1,1,1,2,0,Yes,,
Kane Waselenchuk,Andres Acuna,57,Yes,Backhand Lob,Opponent Backhand,1,2,4,1,0,2,0,1,1,No,,
Kane Waselenchuk,Andres Acuna,58,No,Backhand Lob,Backhand,1,2,2,0,1,0,1,1,0,Yes,,
Kane Waselenchuk,Andres Acuna,59,Yes,Backhand Drive,Opponent Backhand,0,2,2,0,0,1,0,0,1,No,,
Kane Waselenchuk,Andres Acuna,60,No,Wrap Around,Backhand,0,1,2,0,1,1,0,1,0,Yes,,
Kane Waselenchuk,Andres Acuna,61,Yes,Backhand Lob,Opponent Forehand,0,3,3,0,1,1,1,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,62,Yes,Forehand Lob,Opponent Forehand,0,3,5,1,0,3,0,1,1,No,,
Kane Waselenchuk,Andres Acuna,63,No,Backhand Drive,Backhand,1,2,4,0,2,0,2,1,1,Yes,,
Kane Waselenchuk,Andres Acuna,64,Yes,Backhand Drive,Opponent Backhand,0,2,3,0,1,2,0,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,65,Yes,Backhand Lob,Opponent Forehand,1,2,3,0,1,1,1,0,1,Yes,,
Kane Waselenchuk,Andres Acuna,66,Yes,Backhand Drive,Opponent Backhand,0,1,1,0,1,1,0,0,0,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,1,Yes,Forehand Drive ,Center,0,1,3,1,0,2,0,0,1,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,2,Yes,Forehand Drive ,Center,0,2,4,0,0,1,1,1,1,No ,,
Kane Waselenchuk,Rodrigo Montoya ,3,No ,Forehand Lob,Backhand,1,1,3,0,0,0,1,1,1,No,,
Kane Waselenchuk,Rodrigo Montoya ,4,No,Forehand Drive ,Backhand ,0,1,5,1,0,2,1,1,1,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,5,Yes,Forehand Lob ,Backhand ,1,1,2,0,0,1,0,1,0,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,6,Yes,Forehand Drive ,Center ,0,1,3,0,0,1,0,0,1,No,,
Kane Waselenchuk,Rodrigo Montoya ,7,No,Forehand Drive ,Backhand ,0,1,1,0,0,1,0,0,0,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,8,No ,Forehand Lob ,Center ,0,1,1,0,0,0,1,0,0,No ,,
Kane Waselenchuk,Rodrigo Montoya ,9,No,Forehand Drive (hit himself),Backhand ,0,0,0,0,0,0,0,0,0,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,10,Yes ,Backhand Lob ,Opponent Backhand,1,1,2,0,0,1,0,0,1,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,11,Yes,Backhand Lob ,Opponent Backhand,1,1,5,0,1,2,1,0,2,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,12,Yes,Forehand Drive ,Opponent Backhand,0,1,5,0,1,3,0,1,2,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,13,Yes,Backhand Drive ,Opponent Forehand,0,1,1,0,0,1,0,0,0,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,14,Yes,Backhand Lob,Opponent Backhand,1,1,9,1,0,4,1,3,1,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,15,Yes,Forehand Lob ,Opponent Backhand ,1,1,2,0,0,1,1,0,1,No,,
Kane Waselenchuk,Rodrigo Montoya ,16,No ,Forehand Lob,Forehand ,0,2,4,0,0,3,0,1,1,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,17,Yes,Forehand Drive ,Opponent Backhand,0,1,2,0,0,1,0,0,1,No,,
Kane Waselenchuk,Rodrigo Montoya ,18,No,Backhand Lob,Backhand,0,2,3,0,0,0,1,2,0,No,,
Kane Waselenchuk,Rodrigo Montoya ,19,No,Backhand Lob,Backhand,0,2,7,0,0,0,2,3,2,No,,
Kane Waselenchuk,Rodrigo Montoya ,20,No,Backhand Lob,Backhand,0,1,3,0,1,0,1,1,1,No,,
Kane Waselenchuk,Rodrigo Montoya ,21,No ,Backhand Lob,Backhand,0,2,2,0,0,0,1,1,0,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,22,Yes,Backhand Lob,Opponent Backhand,1,1,4,0,0,1,1,1,1,No,,
Kane Waselenchuk,Rodrigo Montoya ,23,No ,Backhand Lob,Backhand,1,1,3,0,1,1,0,1,1,No,,
Kane Waselenchuk,Rodrigo Montoya ,24,No,Backhand Lob,Backhand,1,1,4,1,1,0,2,1,1,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,25,Yes,Backhand Drive ,Opponent Backhand,0,2,5,1,1,3,0,1,1,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,26,Yes,Backhand Lob,Opponent Backhand,1,3,2,0,0,1,0,0,1,Yes,,
Kane Waselenchuk,Rodrigo Montoya ,27,Yes,Backhand Lob,Opponent Backhand ,1,2,2,0,0,1,0,0,1,No,,
Kane Waselenchuk,Rodrigo Montoya ,28,No,Forehand Drive ,Backhand ,0,1,3,0,1,1,0,2,0,No,,
Kane Waselenchuk,Rodrigo Montoya ,29,No ,Backhand Lob,Backhand ,1,1,2,0,1,1,0,1,0,Yes,,
